Country,Country_Code,Category,Indicator_Code,Year,Enrollment
Bahrain,BHR,Total,SE.TER.ENRR,2000,
Bahrain,BHR,Female,SE.TER.ENRR.FE,2000,
Bahrain,BHR,Male,SE.TER.ENRR.MA,2000,
Kuwait,KWT,Total,SE.TER.ENRR,2000,
Kuwait,KWT,Female,SE.TER.ENRR.FE,2000,
Kuwait,KWT,Male,SE.TER.ENRR.MA,2000,
Oman,OMN,Total,SE.TER.ENRR,2000,
Oman,OMN,Female,SE.TER.ENRR.FE,2000,
Oman,OMN,Male,SE.TER.ENRR.MA,2000,
Qatar,QAT,Total,SE.TER.ENRR,2000,
Qatar,QAT,Female,SE.TER.ENRR.FE,2000,
Qatar,QAT,Male,SE.TER.ENRR.MA,2000,
Saudi Arabia,SAU,Total,SE.TER.ENRR,2000,28.3759498596191
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2000,33.3180999755859
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2000,23.8810005187988
United Arab Emirates,ARE,Total,SE.TER.ENRR,2000,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2000,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2000,
Bahrain,BHR,Total,SE.TER.ENRR,2001,
Bahrain,BHR,Female,SE.TER.ENRR.FE,2001,
Bahrain,BHR,Male,SE.TER.ENRR.MA,2001,
Kuwait,KWT,Total,SE.TER.ENRR,2001,18.3207397460938
Kuwait,KWT,Female,SE.TER.ENRR.FE,2001,27.368049621582
Kuwait,KWT,Male,SE.TER.ENRR.MA,2001,11.6747798919678
Oman,OMN,Total,SE.TER.ENRR,2001,
Oman,OMN,Female,SE.TER.ENRR.FE,2001,
Oman,OMN,Male,SE.TER.ENRR.MA,2001,
Qatar,QAT,Total,SE.TER.ENRR,2001,18.6874694824219
Qatar,QAT,Female,SE.TER.ENRR.FE,2001,33.5701293945312
Qatar,QAT,Male,SE.TER.ENRR.MA,2001,8.44478988647461
Saudi Arabia,SAU,Total,SE.TER.ENRR,2001,27.2377300262451
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2001,32.850471496582
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2001,22.5503807067871
United Arab Emirates,ARE,Total,SE.TER.ENRR,2001,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2001,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2001,
Bahrain,BHR,Total,SE.TER.ENRR,2002,
Bahrain,BHR,Female,SE.TER.ENRR.FE,2002,
Bahrain,BHR,Male,SE.TER.ENRR.MA,2002,
Kuwait,KWT,Total,SE.TER.ENRR,2002,19.2795295715332
Kuwait,KWT,Female,SE.TER.ENRR.FE,2002,28.4298801422119
Kuwait,KWT,Male,SE.TER.ENRR.MA,2002,12.3950595855713
Oman,OMN,Total,SE.TER.ENRR,2002,
Oman,OMN,Female,SE.TER.ENRR.FE,2002,
Oman,OMN,Male,SE.TER.ENRR.MA,2002,
Qatar,QAT,Total,SE.TER.ENRR,2002,17.2873592376709
Qatar,QAT,Female,SE.TER.ENRR.FE,2002,31.0748691558838
Qatar,QAT,Male,SE.TER.ENRR.MA,2002,7.96611022949219
Saudi Arabia,SAU,Total,SE.TER.ENRR,2002,25.1049709320068
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2002,32.1685409545898
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2002,19.6529197692871
United Arab Emirates,ARE,Total,SE.TER.ENRR,2002,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2002,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2002,
Bahrain,BHR,Total,SE.TER.ENRR,2003,25.1201400756836
Bahrain,BHR,Female,SE.TER.ENRR.FE,2003,40.0108413696289
Bahrain,BHR,Male,SE.TER.ENRR.MA,2003,15.6544799804688
Kuwait,KWT,Total,SE.TER.ENRR,2003,19.5890598297119
Kuwait,KWT,Female,SE.TER.ENRR.FE,2003,28.8520603179932
Kuwait,KWT,Male,SE.TER.ENRR.MA,2003,12.3767995834351
Oman,OMN,Total,SE.TER.ENRR,2003,14.3313598632812
Oman,OMN,Female,SE.TER.ENRR.FE,2003,12.1856899261475
Oman,OMN,Male,SE.TER.ENRR.MA,2003,16.3789291381836
Qatar,QAT,Total,SE.TER.ENRR,2003,15.7512302398682
Qatar,QAT,Female,SE.TER.ENRR.FE,2003,29.2537593841553
Qatar,QAT,Male,SE.TER.ENRR.MA,2003,7.04970979690552
Saudi Arabia,SAU,Total,SE.TER.ENRR,2003,26.6230297088623
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2003,37.0434303283691
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2003,19.1202602386475
United Arab Emirates,ARE,Total,SE.TER.ENRR,2003,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2003,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2003,
Bahrain,BHR,Total,SE.TER.ENRR,2004,
Bahrain,BHR,Female,SE.TER.ENRR.FE,2004,
Bahrain,BHR,Male,SE.TER.ENRR.MA,2004,
Kuwait,KWT,Total,SE.TER.ENRR,2004,19.9746398925781
Kuwait,KWT,Female,SE.TER.ENRR.FE,2004,28.715950012207
Kuwait,KWT,Male,SE.TER.ENRR.MA,2004,12.9033203125
Oman,OMN,Total,SE.TER.ENRR,2004,15.1500101089478
Oman,OMN,Female,SE.TER.ENRR.FE,2004,16.084379196167
Oman,OMN,Male,SE.TER.ENRR.MA,2004,14.2583503723144
Qatar,QAT,Total,SE.TER.ENRR,2004,16.8915996551514
Qatar,QAT,Female,SE.TER.ENRR.FE,2004,32.0311012268066
Qatar,QAT,Male,SE.TER.ENRR.MA,2004,7.74392986297607
Saudi Arabia,SAU,Total,SE.TER.ENRR,2004,26.2631301879883
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2004,38.1271018981934
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2004,18.2057094573975
United Arab Emirates,ARE,Total,SE.TER.ENRR,2004,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2004,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2004,
Bahrain,BHR,Total,SE.TER.ENRR,2005,19.0136394500732
Bahrain,BHR,Female,SE.TER.ENRR.FE,2005,34.6471786499023
Bahrain,BHR,Male,SE.TER.ENRR.MA,2005,9.74230003356934
Kuwait,KWT,Total,SE.TER.ENRR,2005,
Kuwait,KWT,Female,SE.TER.ENRR.FE,2005,
Kuwait,KWT,Male,SE.TER.ENRR.MA,2005,
Oman,OMN,Total,SE.TER.ENRR,2005,17.117769241333
Oman,OMN,Female,SE.TER.ENRR.FE,2005,18.1676807403564
Oman,OMN,Male,SE.TER.ENRR.MA,2005,16.1530094146729
Qatar,QAT,Total,SE.TER.ENRR,2005,14.7242298126221
Qatar,QAT,Female,SE.TER.ENRR.FE,2005,30.4664096832275
Qatar,QAT,Male,SE.TER.ENRR.MA,2005,6.98043012619019
Saudi Arabia,SAU,Total,SE.TER.ENRR,2005,25.1983699798584
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2005,37.1544799804688
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2005,17.4432506561279
United Arab Emirates,ARE,Total,SE.TER.ENRR,2005,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2005,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2005,
Bahrain,BHR,Total,SE.TER.ENRR,2006,17.5358505249023
Bahrain,BHR,Female,SE.TER.ENRR.FE,2006,31.6284408569336
Bahrain,BHR,Male,SE.TER.ENRR.MA,2006,8.93719959259033
Kuwait,KWT,Total,SE.TER.ENRR,2006,
Kuwait,KWT,Female,SE.TER.ENRR.FE,2006,
Kuwait,KWT,Male,SE.TER.ENRR.MA,2006,
Oman,OMN,Total,SE.TER.ENRR,2006,19.2329597473144
Oman,OMN,Female,SE.TER.ENRR.FE,2006,20.3098106384277
Oman,OMN,Male,SE.TER.ENRR.MA,2006,18.2453193664551
Qatar,QAT,Total,SE.TER.ENRR,2006,12.8355398178101
Qatar,QAT,Female,SE.TER.ENRR.FE,2006,30.6244392395019
Qatar,QAT,Male,SE.TER.ENRR.MA,2006,5.80687999725342
Saudi Arabia,SAU,Total,SE.TER.ENRR,2006,24.5137691497803
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2006,36.8055801391602
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2006,16.8029403686523
United Arab Emirates,ARE,Total,SE.TER.ENRR,2006,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2006,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2006,
Bahrain,BHR,Total,SE.TER.ENRR,2007,
Bahrain,BHR,Female,SE.TER.ENRR.FE,2007,
Bahrain,BHR,Male,SE.TER.ENRR.MA,2007,
Kuwait,KWT,Total,SE.TER.ENRR,2007,
Kuwait,KWT,Female,SE.TER.ENRR.FE,2007,
Kuwait,KWT,Male,SE.TER.ENRR.MA,2007,
Oman,OMN,Total,SE.TER.ENRR,2007,20.4086494445801
Oman,OMN,Female,SE.TER.ENRR.FE,2007,21.8022804260254
Oman,OMN,Male,SE.TER.ENRR.MA,2007,19.1495704650879
Qatar,QAT,Total,SE.TER.ENRR,2007,11.8196697235107
Qatar,QAT,Female,SE.TER.ENRR.FE,2007,31.7337493896484
